url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26266840-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-bandar-sierra-petronas-station,26266840,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu lalu Bandar Sierra Petronas Station ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/6327497-barista-mcdonalds-pandu-lalu-bandar-sierra-petronas-station,6327497,Barista ( McDonald’s Pandu lalu Bandar Sierra Petronas Station ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR1,500 Sebulan",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/13086998-barista-mcdonalds-kkia-airside,13086998,Barista ( McDonald's KKIA Airside ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR1,500 Sebulan",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/15678019-delivery-rider-full-time-dominos-pizza-riverson,15678019,Delivery Rider (Full Time) ( Domino's Pizza Riverson ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/15678020-delivery-rider-full-time-dominos-pizza-dsulaman,15678020,Delivery Rider (Full Time) ( Domino's Pizza D'Sulaman ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266663-kru-kasual-hari-raya-haji-mcdonalds-karamunsing,26266663,Kru Kasual - Hari Raya Haji ( McDonald’s Karamunsing ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266674-kru-kasual-hari-raya-haji-mcdonalds-suria-sabah-kk,26266674,Kru Kasual - Hari Raya Haji ( McDonald’s Suria Sabah KK ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266896-kru-kasual-hari-raya-haji-mcdonalds-pss-jalan-lintas-dt,26266896,Kru Kasual - Hari Raya Haji ( McDonald’s PSS Jalan Lintas DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266662-kru-kasual-hari-raya-haji-mcdonalds-centre-point,26266662,Kru Kasual - Hari Raya Haji ( McDonald’s Centre Point ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266897-kru-kasual-hari-raya-haji-mcdonalds-imago-kota-kinabalu,26266897,Kru Kasual - Hari Raya Haji ( McDonald’s Imago Kota Kinabalu ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266668-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-jalan-sulaman,26266668,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Jalan Sulaman ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979832-health-advisor-karamunsing,17979832,Health Advisor ( KARAMUNSING ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979834-health-advisor-city-mall-kk,17979834,"Health Advisor ( CITY MALL, KK )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979833-health-advisor-damai-point-kk,17979833,"Health Advisor ( DAMAI POINT, KK )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979838-health-advisor-88-mall-kota-kinabalu,17979838,"Health Advisor ( 88 MALL, KOTA KINABALU )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979847-health-advisor-wisma-merdeka,17979847,Health Advisor ( WISMA MERDEKA ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979852-health-advisor-plaza-king-fisher-kk,17979852,Health Advisor ( PLAZA KING FISHER KK ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979836-health-advisor-plaza-333-kk,17979836,"Health Advisor ( PLAZA 333, KK )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979854-health-advisor-jalan-pantai-kk-relocation,17979854,"Health Advisor ( JALAN PANTAI, KK (RELOCATION) )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979856-health-advisor-menggatal-kk,17979856,"Health Advisor ( MENGGATAL, KK )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/15678083-crew-member-part-time-dominos-pizza-riverson,15678083,Crew Member (Part Time) ( Domino's Pizza Riverson ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR8.72 Sejam,2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/15678045-crew-member-full-time-dominos-pizza-riverson,15678045,Crew Member (Full Time) ( Domino's Pizza Riverson ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR1,700 Sebulan",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/15678046-crew-member-full-time-dominos-pizza-dsulaman,15678046,Crew Member (Full Time) ( Domino's Pizza D'Sulaman ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR1,700 Sebulan",2 months ago,Any Skill,part-time-kota-kinabalu
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-kota-kinabalu
https://www.maukerja.my/job/26266666-kru-kasual-hari-raya-haji-mcdonalds-kota-kinabalu-airport,26266666,Kru Kasual - Hari Raya Haji ( McDonald’s Kota Kinabalu Airport ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266715-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-beverly-hills,26266715,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Beverly Hills ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266741-kru-kasual-hari-raya-haji-mcdonalds-likas-bay-kk,26266741,Kru Kasual - Hari Raya Haji ( McDonald's Likas Bay KK ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266665-kru-kasual-hari-raya-haji-mcdonalds-1-borneo-mall,26266665,Kru Kasual - Hari Raya Haji ( McDonald’s 1 Borneo Mall ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266664-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-shell-jalan-sulaman,26266664,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Shell Jalan Sulaman ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266661-kru-kasual-hari-raya-haji-mcdonalds-api-api,26266661,Kru Kasual - Hari Raya Haji ( McDonald’s Api Api ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266857-kru-kasual-hari-raya-haji-mcdonalds-kkia-airside,26266857,Kru Kasual - Hari Raya Haji ( McDonald's KKIA Airside ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266840-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-bandar-sierra-petronas-station,26266840,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu lalu Bandar Sierra Petronas Station ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/6327497-barista-mcdonalds-pandu-lalu-bandar-sierra-petronas-station,6327497,Barista ( McDonald’s Pandu lalu Bandar Sierra Petronas Station ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR1,500 Per Month",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/13086998-barista-mcdonalds-kkia-airside,13086998,Barista ( McDonald's KKIA Airside ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR1,500 Per Month",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/15678019-delivery-rider-full-time-dominos-pizza-riverson,15678019,Delivery Rider (Full Time) ( Domino's Pizza Riverson ),Domino's Pizza,"Up to MYR2,500 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR2,500 Per Month",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/15678020-delivery-rider-full-time-dominos-pizza-dsulaman,15678020,Delivery Rider (Full Time) ( Domino's Pizza D'Sulaman ),Domino's Pizza,"Up to MYR2,500 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR2,500 Per Month",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266663-kru-kasual-hari-raya-haji-mcdonalds-karamunsing,26266663,Kru Kasual - Hari Raya Haji ( McDonald’s Karamunsing ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266674-kru-kasual-hari-raya-haji-mcdonalds-suria-sabah-kk,26266674,Kru Kasual - Hari Raya Haji ( McDonald’s Suria Sabah KK ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266896-kru-kasual-hari-raya-haji-mcdonalds-pss-jalan-lintas-dt,26266896,Kru Kasual - Hari Raya Haji ( McDonald’s PSS Jalan Lintas DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266662-kru-kasual-hari-raya-haji-mcdonalds-centre-point,26266662,Kru Kasual - Hari Raya Haji ( McDonald’s Centre Point ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266897-kru-kasual-hari-raya-haji-mcdonalds-imago-kota-kinabalu,26266897,Kru Kasual - Hari Raya Haji ( McDonald’s Imago Kota Kinabalu ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266668-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-jalan-sulaman,26266668,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Jalan Sulaman ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979832-health-advisor-karamunsing,17979832,Health Advisor ( KARAMUNSING ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Per Month",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979834-health-advisor-city-mall-kk,17979834,"Health Advisor ( CITY MALL, KK )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Per Month",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979833-health-advisor-damai-point-kk,17979833,"Health Advisor ( DAMAI POINT, KK )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Per Month",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979838-health-advisor-88-mall-kota-kinabalu,17979838,"Health Advisor ( 88 MALL, KOTA KINABALU )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Per Month",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979847-health-advisor-wisma-merdeka,17979847,Health Advisor ( WISMA MERDEKA ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Per Month",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979852-health-advisor-plaza-king-fisher-kk,17979852,Health Advisor ( PLAZA KING FISHER KK ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Per Month",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979836-health-advisor-plaza-333-kk,17979836,"Health Advisor ( PLAZA 333, KK )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Per Month",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979854-health-advisor-jalan-pantai-kk-relocation,17979854,"Health Advisor ( JALAN PANTAI, KK (RELOCATION) )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Per Month",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/17979856-health-advisor-menggatal-kk,17979856,"Health Advisor ( MENGGATAL, KK )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR2,100 Per Month",11 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/15678083-crew-member-part-time-dominos-pizza-riverson,15678083,Crew Member (Part Time) ( Domino's Pizza Riverson ),Domino's Pizza,Up to MYR8.72 Per Hour,N/A,"Kota Kinabalu, Sabah",Up to MYR8.72 Per Hour,2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/15678045-crew-member-full-time-dominos-pizza-riverson,15678045,Crew Member (Full Time) ( Domino's Pizza Riverson ),Domino's Pizza,"Up to MYR1,700 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR1,700 Per Month",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/15678046-crew-member-full-time-dominos-pizza-dsulaman,15678046,Crew Member (Full Time) ( Domino's Pizza D'Sulaman ),Domino's Pizza,"Up to MYR1,700 Per Month",N/A,"Kota Kinabalu, Sabah","Up to MYR1,700 Per Month",2 months ago,Any Skill,part-time-kota-kinabalu
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-kota-kinabalu
https://www.maukerja.my/job/26266666-kru-kasual-hari-raya-haji-mcdonalds-kota-kinabalu-airport,26266666,Kru Kasual - Hari Raya Haji ( McDonald’s Kota Kinabalu Airport ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266715-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-beverly-hills,26266715,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Beverly Hills ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266741-kru-kasual-hari-raya-haji-mcdonalds-likas-bay-kk,26266741,Kru Kasual - Hari Raya Haji ( McDonald's Likas Bay KK ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266665-kru-kasual-hari-raya-haji-mcdonalds-1-borneo-mall,26266665,Kru Kasual - Hari Raya Haji ( McDonald’s 1 Borneo Mall ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266664-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-shell-jalan-sulaman,26266664,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Shell Jalan Sulaman ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266661-kru-kasual-hari-raya-haji-mcdonalds-api-api,26266661,Kru Kasual - Hari Raya Haji ( McDonald’s Api Api ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266857-kru-kasual-hari-raya-haji-mcdonalds-kkia-airside,26266857,Kru Kasual - Hari Raya Haji ( McDonald's KKIA Airside ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266840-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-bandar-sierra-petronas-station,26266840,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu lalu Bandar Sierra Petronas Station ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/6327497-barista-mcdonalds-pandu-lalu-bandar-sierra-petronas-station,6327497,Barista ( McDonald’s Pandu lalu Bandar Sierra Petronas Station ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR1,500 Sebulan",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/13086998-barista-mcdonalds-kkia-airside,13086998,Barista ( McDonald's KKIA Airside ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR1,500 Sebulan",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/15678019-delivery-rider-full-time-dominos-pizza-riverson,15678019,Delivery Rider (Full Time) ( Domino's Pizza Riverson ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/15678020-delivery-rider-full-time-dominos-pizza-dsulaman,15678020,Delivery Rider (Full Time) ( Domino's Pizza D'Sulaman ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Kinabalu, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266663-kru-kasual-hari-raya-haji-mcdonalds-karamunsing,26266663,Kru Kasual - Hari Raya Haji ( McDonald’s Karamunsing ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266674-kru-kasual-hari-raya-haji-mcdonalds-suria-sabah-kk,26266674,Kru Kasual - Hari Raya Haji ( McDonald’s Suria Sabah KK ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
https://www.maukerja.my/job/26266896-kru-kasual-hari-raya-haji-mcdonalds-pss-jalan-lintas-dt,26266896,Kru Kasual - Hari Raya Haji ( McDonald’s PSS Jalan Lintas DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-kota-kinabalu
